date,crop,market,price_per_quintal
2026-01-08,Groundnut,Ahmedabad APMC,6440
2026-01-08,Groundnut,Vadodara APMC,5771
2026-01-08,Groundnut,Surat APMC,6584
2026-01-08,Groundnut,Rajkot APMC,6238
2026-01-08,Groundnut,Anand APMC,6004
2026-01-08,Tomato,Ahmedabad APMC,1954
2026-01-08,Tomato,Vadodara APMC,1346
2026-01-08,Tomato,Surat APMC,2126
2026-01-08,Tomato,Rajkot APMC,1712
2026-01-08,Tomato,Anand APMC,1523
2026-01-09,Cotton,Ahmedabad APMC,7185
2026-01-09,Cotton,Vadodara APMC,6550
2026-01-09,Cotton,Surat APMC,7388
2026-01-09,Cotton,Rajkot APMC,6930
2026-01-09,Cotton,Anand APMC,6822
2026-01-09,Wheat,Ahmedabad APMC,3056
2026-01-09,Wheat,Vadodara APMC,2472
2026-01-09,Wheat,Surat APMC,3251
2026-01-09,Wheat,Rajkot APMC,2872
2026-01-09,Wheat,Anand APMC,2646
2026-01-09,Groundnut,Ahmedabad APMC,6480
2026-01-09,Groundnut,Vadodara APMC,5838
2026-01-09,Groundnut,Surat APMC,6664
2026-01-09,Groundnut,Rajkot APMC,6277
2026-01-09,Groundnut,Anand APMC,6025
2026-01-09,Tomato,Ahmedabad APMC,1919
2026-01-09,Tomato,Vadodara APMC,1333
2026-01-09,Tomato,Surat APMC,2158
2026-01-09,Tomato,Rajkot APMC,1720
2026-01-09,Tomato,Anand APMC,1544
2026-01-10,Cotton,Ahmedabad APMC,7264
2026-01-10,Cotton,Vadodara APMC,6632
2026-01-10,Cotton,Surat APMC,7365
2026-01-10,Cotton,Rajkot APMC,7041
2026-01-10,Cotton,Anand APMC,6806
2026-01-10,Wheat,Ahmedabad APMC,3116
2026-01-10,Wheat,Vadodara APMC,2486
2026-01-10,Wheat,Surat APMC,3292
2026-01-10,Wheat,Rajkot APMC,2908
2026-01-10,Wheat,Anand APMC,2704
2026-01-10,Groundnut,Ahmedabad APMC,6460
2026-01-10,Groundnut,Vadodara APMC,5837
2026-01-10,Groundnut,Surat APMC,6660
2026-01-10,Groundnut,Rajkot APMC,6302
2026-01-10,Groundnut,Anand APMC,6040
2026-01-10,Tomato,Ahmedabad APMC,1920
2026-01-10,Tomato,Vadodara APMC,1361
2026-01-10,Tomato,Surat APMC,2146
2026-01-10,Tomato,Rajkot APMC,1767
2026-01-10,Tomato,Anand APMC,1519
2026-01-11,Cotton,Ahmedabad APMC,7297
2026-01-11,Cotton,Vadodara APMC,6668
2026-01-11,Cotton,Surat APMC,7498
2026-01-11,Cotton,Rajkot APMC,7016
2026-01-11,Cotton,Anand APMC,6816
2026-01-11,Wheat,Ahmedabad APMC,3160
2026-01-11,Wheat,Vadodara APMC,2565
2026-01-11,Wheat,Surat APMC,3340
2026-01-11,Wheat,Rajkot APMC,2946
2026-01-11,Wheat,Anand APMC,2763
2026-01-11,Groundnut,Ahmedabad APMC,6537
2026-01-11,Groundnut,Vadodara APMC,5914
2026-01-11,Groundnut,Surat APMC,6687
2026-01-11,Groundnut,Rajkot APMC,6329
2026-01-11,Groundnut,Anand APMC,6085
2026-01-11,Tomato,Ahmedabad APMC,1965
2026-01-11,Tomato,Vadodara APMC,1339
2026-01-11,Tomato,Surat APMC,2145
2026-01-11,Tomato,Rajkot APMC,1762
2026-01-11,Tomato,Anand APMC,1561
2026-01-12,Cotton,Ahmedabad APMC,7282
2026-01-12,Cotton,Vadodara APMC,6691
2026-01-12,Cotton,Surat APMC,7501
2026-01-12,Cotton,Rajkot APMC,7092
2026-01-12,Cotton,Anand APMC,6850
2026-01-12,Wheat,Ahmedabad APMC,3190
2026-01-12,Wheat,Vadodara APMC,2589
2026-01-12,Wheat,Surat APMC,3379
2026-01-12,Wheat,Rajkot APMC,2996
2026-01-12,Wheat,Anand APMC,2776
2026-01-12,Groundnut,Ahmedabad APMC,6565
2026-01-12,Groundnut,Vadodara APMC,5960
2026-01-12,Groundnut,Surat APMC,6719
2026-01-12,Groundnut,Rajkot APMC,6365
2026-01-12,Groundnut,Anand APMC,6118
2026-01-12,Tomato,Ahmedabad APMC,1925
2026-01-12,Tomato,Vadodara APMC,1329
2026-01-12,Tomato,Surat APMC,2170
2026-01-12,Tomato,Rajkot APMC,1765
2026-01-12,Tomato,Anand APMC,1528
2026-01-13,Cotton,Ahmedabad APMC,7299
2026-01-13,Cotton,Vadodara APMC,6678
2026-01-13,Cotton,Surat APMC,7474
2026-01-13,Cotton,Rajkot APMC,7112
2026-01-13,Cotton,Anand APMC,6879
2026-01-13,Wheat,Ahmedabad APMC,3252
2026-01-13,Wheat,Vadodara APMC,2635
2026-01-13,Wheat,Surat APMC,3437
2026-01-13,Wheat,Rajkot APMC,3051
2026-01-13,Wheat,Anand APMC,2833
2026-01-13,Groundnut,Ahmedabad APMC,6589
2026-01-13,Groundnut,Vadodara APMC,5936
2026-01-13,Groundnut,Surat APMC,6793
2026-01-13,Groundnut,Rajkot APMC,6393
2026-01-13,Groundnut,Anand APMC,6180
2026-01-13,Tomato,Ahmedabad APMC,1945
2026-01-13,Tomato,Vadodara APMC,1380
2026-01-13,Tomato,Surat APMC,2160
2026-01-13,Tomato,Rajkot APMC,1781
2026-01-13,Tomato,Anand APMC,1556
2026-01-14,Cotton,Ahmedabad APMC,7329
2026-01-14,Cotton,Vadodara APMC,6717
2026-01-14,Cotton,Surat APMC,7517
2026-01-14,Cotton,Rajkot APMC,7189
2026-01-14,Cotton,Anand APMC,6960
2026-01-14,Wheat,Ahmedabad APMC,3287
2026-01-14,Wheat,Vadodara APMC,2692
2026-01-14,Wheat,Surat APMC,3491
2026-01-14,Wheat,Rajkot APMC,3094
2026-01-14,Wheat,Anand APMC,2868
2026-01-14,Groundnut,Ahmedabad APMC,6562
2026-01-14,Groundnut,Vadodara APMC,5957
2026-01-14,Groundnut,Surat APMC,6801
2026-01-14,Groundnut,Rajkot APMC,6393
2026-01-14,Groundnut,Anand APMC,6163
2026-01-14,Tomato,Ahmedabad APMC,1950
2026-01-14,Tomato,Vadodara APMC,1347
2026-01-14,Tomato,Surat APMC,2147
2026-01-14,Tomato,Rajkot APMC,1769
2026-01-14,Tomato,Anand APMC,1563
2026-01-15,Cotton,Ahmedabad APMC,7357
2026-01-15,Cotton,Vadodara APMC,6794
2026-01-15,Cotton,Surat APMC,7563
2026-01-15,Cotton,Rajkot APMC,7175
2026-01-15,Cotton,Anand APMC,6999
2026-01-15,Wheat,Ahmedabad APMC,3325
2026-01-15,Wheat,Vadodara APMC,2714
2026-01-15,Wheat,Surat APMC,3538
2026-01-15,Wheat,Rajkot APMC,3145
2026-01-15,Wheat,Anand APMC,2916
2026-01-15,Groundnut,Ahmedabad APMC,6586
2026-01-15,Groundnut,Vadodara APMC,6049
2026-01-15,Groundnut,Surat APMC,6781
2026-01-15,Groundnut,Rajkot APMC,6391
2026-01-15,Groundnut,Anand APMC,6210
2026-01-15,Tomato,Ahmedabad APMC,1950
2026-01-15,Tomato,Vadodara APMC,1366
2026-01-15,Tomato,Surat APMC,2171
2026-01-15,Tomato,Rajkot APMC,1770
2026-01-15,Tomato,Anand APMC,1553
2026-01-16,Cotton,Ahmedabad APMC,7426
2026-01-16,Cotton,Vadodara APMC,6782
2026-01-16,Cotton,Surat APMC,7596
2026-01-16,Cotton,Rajkot APMC,7223
2026-01-16,Cotton,Anand APMC,6975
2026-01-16,Wheat,Ahmedabad APMC,3379
2026-01-16,Wheat,Vadodara APMC,2771
2026-01-16,Wheat,Surat APMC,3584
2026-01-16,Wheat,Rajkot APMC,3173
2026-01-16,Wheat,Anand APMC,2982
2026-01-16,Groundnut,Ahmedabad APMC,6681
2026-01-16,Groundnut,Vadodara APMC,6072
2026-01-16,Groundnut,Surat APMC,6829
2026-01-16,Groundnut,Rajkot APMC,6434
2026-01-16,Groundnut,Anand APMC,6247
2026-01-16,Tomato,Ahmedabad APMC,1958
2026-01-16,Tomato,Vadodara APMC,1348
2026-01-16,Tomato,Surat APMC,2182
2026-01-16,Tomato,Rajkot APMC,1792
2026-01-16,Tomato,Anand APMC,1579
2026-01-17,Cotton,Ahmedabad APMC,7417
2026-01-17,Cotton,Vadodara APMC,6905
2026-01-17,Cotton,Surat APMC,7650
2026-01-17,Cotton,Rajkot APMC,7217
2026-01-17,Cotton,Anand APMC,7016
2026-01-17,Wheat,Ahmedabad APMC,3437
2026-01-17,Wheat,Vadodara APMC,2830
2026-01-17,Wheat,Surat APMC,3632
2026-01-17,Wheat,Rajkot APMC,3233
2026-01-17,Wheat,Anand APMC,3010
2026-01-17,Groundnut,Ahmedabad APMC,6647
2026-01-17,Groundnut,Vadodara APMC,6105
2026-01-17,Groundnut,Surat APMC,6850
2026-01-17,Groundnut,Rajkot APMC,6463
2026-01-17,Groundnut,Anand APMC,6248
2026-01-17,Tomato,Ahmedabad APMC,1988
2026-01-17,Tomato,Vadodara APMC,1354
2026-01-17,Tomato,Surat APMC,2193
2026-01-17,Tomato,Rajkot APMC,1805
2026-01-17,Tomato,Anand APMC,1565
2026-01-18,Cotton,Ahmedabad APMC,7496
2026-01-18,Cotton,Vadodara APMC,6860
2026-01-18,Cotton,Surat APMC,7717
2026-01-18,Cotton,Rajkot APMC,7276
2026-01-18,Cotton,Anand APMC,7119
2026-01-18,Wheat,Ahmedabad APMC,3483
2026-01-18,Wheat,Vadodara APMC,2847
2026-01-18,Wheat,Surat APMC,3684
2026-01-18,Wheat,Rajkot APMC,3250
2026-01-18,Wheat,Anand APMC,3071
2026-01-18,Groundnut,Ahmedabad APMC,6744
2026-01-18,Groundnut,Vadodara APMC,6142
2026-01-18,Groundnut,Surat APMC,6936
2026-01-18,Groundnut,Rajkot APMC,6510
2026-01-18,Groundnut,Anand APMC,6303
2026-01-18,Tomato,Ahmedabad APMC,1968
2026-01-18,Tomato,Vadodara APMC,1397
2026-01-18,Tomato,Surat APMC,2200
2026-01-18,Tomato,Rajkot APMC,1775
2026-01-18,Tomato,Anand APMC,1570
2026-01-19,Cotton,Ahmedabad APMC,7513
2026-01-19,Cotton,Vadodara APMC,6930
2026-01-19,Cotton,Surat APMC,7696
2026-01-19,Cotton,Rajkot APMC,7365
2026-01-19,Cotton,Anand APMC,7162
2026-01-19,Wheat,Ahmedabad APMC,3509
2026-01-19,Wheat,Vadodara APMC,2919
2026-01-19,Wheat,Surat APMC,3710
2026-01-19,Wheat,Rajkot APMC,3294
2026-01-19,Wheat,Anand APMC,3090
2026-01-19,Groundnut,Ahmedabad APMC,6758
2026-01-19,Groundnut,Vadodara APMC,6179
2026-01-19,Groundnut,Surat APMC,6972
2026-01-19,Groundnut,Rajkot APMC,6512
2026-01-19,Groundnut,Anand APMC,6309
2026-01-19,Tomato,Ahmedabad APMC,1994
2026-01-19,Tomato,Vadodara APMC,1373
2026-01-19,Tomato,Surat APMC,2192
2026-01-19,Tomato,Rajkot APMC,1776
2026-01-19,Tomato,Anand APMC,1568
2026-01-20,Cotton,Ahmedabad APMC,7559
2026-01-20,Cotton,Vadodara APMC,6923
2026-01-20,Cotton,Surat APMC,7746
2026-01-20,Cotton,Rajkot APMC,7362
2026-01-20,Cotton,Anand APMC,7151
2026-01-20,Wheat,Ahmedabad APMC,3545
2026-01-20,Wheat,Vadodara APMC,2963
2026-01-20,Wheat,Surat APMC,3769
2026-01-20,Wheat,Rajkot APMC,3354
2026-01-20,Wheat,Anand APMC,3174
2026-01-20,Groundnut,Ahmedabad APMC,6797
2026-01-20,Groundnut,Vadodara APMC,6131
2026-01-20,Groundnut,Surat APMC,7000
2026-01-20,Groundnut,Rajkot APMC,6568
2026-01-20,Groundnut,Anand APMC,6343
2026-01-20,Tomato,Ahmedabad APMC,2025
2026-01-20,Tomato,Vadodara APMC,1421
2026-01-20,Tomato,Surat APMC,2173
2026-01-20,Tomato,Rajkot APMC,1781
2026-01-20,Tomato,Anand APMC,1572
2026-01-21,Cotton,Ahmedabad APMC,7563
2026-01-21,Cotton,Vadodara APMC,7045
2026-01-21,Cotton,Surat APMC,7820
2026-01-21,Cotton,Rajkot APMC,7369
2026-01-21,Cotton,Anand APMC,7184
2026-01-21,Wheat,Ahmedabad APMC,3598
2026-01-21,Wheat,Vadodara APMC,3018
2026-01-21,Wheat,Surat APMC,3793
2026-01-21,Wheat,Rajkot APMC,3401
2026-01-21,Wheat,Anand APMC,3193
2026-01-21,Groundnut,Ahmedabad APMC,6793
2026-01-21,Groundnut,Vadodara APMC,6224
2026-01-21,Groundnut,Surat APMC,7022
2026-01-21,Groundnut,Rajkot APMC,6592
2026-01-21,Groundnut,Anand APMC,6366
2026-01-21,Tomato,Ahmedabad APMC,1975
2026-01-21,Tomato,Vadodara APMC,1410
2026-01-21,Tomato,Surat APMC,2197
2026-01-21,Tomato,Rajkot APMC,1823
2026-01-21,Tomato,Anand APMC,1587
2026-01-22,Cotton,Ahmedabad APMC,7590
2026-01-22,Cotton,Vadodara APMC,6985
2026-01-22,Cotton,Surat APMC,7827
2026-01-22,Cotton,Rajkot APMC,7483
2026-01-22,Cotton,Anand APMC,7201
2026-01-22,Wheat,Ahmedabad APMC,3665
2026-01-22,Wheat,Vadodara APMC,3041
2026-01-22,Wheat,Surat APMC,3835
2026-01-22,Wheat,Rajkot APMC,3453
2026-01-22,Wheat,Anand APMC,3260
2026-01-22,Groundnut,Ahmedabad APMC,6844
2026-01-22,Groundnut,Vadodara APMC,6261
2026-01-22,Groundnut,Surat APMC,6991
2026-01-22,Groundnut,Rajkot APMC,6604
2026-01-22,Groundnut,Anand APMC,6399
2026-01-22,Tomato,Ahmedabad APMC,2035
2026-01-22,Tomato,Vadodara APMC,1431
2026-01-22,Tomato,Surat APMC,2219
2026-01-22,Tomato,Rajkot APMC,1832
2026-01-22,Tomato,Anand APMC,1584
2026-01-23,Cotton,Ahmedabad APMC,7689
2026-01-23,Cotton,Vadodara APMC,7024
2026-01-23,Cotton,Surat APMC,7867
2026-01-23,Cotton,Rajkot APMC,7494
2026-01-23,Cotton,Anand APMC,7290
2026-01-23,Wheat,Ahmedabad APMC,3679
2026-01-23,Wheat,Vadodara APMC,3097
2026-01-23,Wheat,Surat APMC,3878
2026-01-23,Wheat,Rajkot APMC,3472
2026-01-23,Wheat,Anand APMC,3289
2026-01-23,Groundnut,Ahmedabad APMC,6866
2026-01-23,Groundnut,Vadodara APMC,6225
2026-01-23,Groundnut,Surat APMC,7065
2026-01-23,Groundnut,Rajkot APMC,6646
2026-01-23,Groundnut,Anand APMC,6451
2026-01-23,Tomato,Ahmedabad APMC,2022
2026-01-23,Tomato,Vadodara APMC,1386
2026-01-23,Tomato,Surat APMC,2202
2026-01-23,Tomato,Rajkot APMC,1829
2026-01-23,Tomato,Anand APMC,1615
2026-01-24,Cotton,Ahmedabad APMC,7707
2026-01-24,Cotton,Vadodara APMC,7134
2026-01-24,Cotton,Surat APMC,7950
2026-01-24,Cotton,Rajkot APMC,7474
2026-01-24,Cotton,Anand APMC,7285
2026-01-24,Wheat,Ahmedabad APMC,3725
2026-01-24,Wheat,Vadodara APMC,3126
2026-01-24,Wheat,Surat APMC,3941
2026-01-24,Wheat,Rajkot APMC,3516
2026-01-24,Wheat,Anand APMC,3326
2026-01-24,Groundnut,Ahmedabad APMC,6892
2026-01-24,Groundnut,Vadodara APMC,6302
2026-01-24,Groundnut,Surat APMC,7081
2026-01-24,Groundnut,Rajkot APMC,6684
2026-01-24,Groundnut,Anand APMC,6470
2026-01-24,Tomato,Ahmedabad APMC,2035
2026-01-24,Tomato,Vadodara APMC,1429
2026-01-24,Tomato,Surat APMC,2191
2026-01-24,Tomato,Rajkot APMC,1809
2026-01-24,Tomato,Anand APMC,1640
2026-01-25,Cotton,Ahmedabad APMC,7694
2026-01-25,Cotton,Vadodara APMC,7150
2026-01-25,Cotton,Surat APMC,7918
2026-01-25,Cotton,Rajkot APMC,7515
2026-01-25,Cotton,Anand APMC,7348
2026-01-25,Wheat,Ahmedabad APMC,3782
2026-01-25,Wheat,Vadodara APMC,3179
2026-01-25,Wheat,Surat APMC,3974
2026-01-25,Wheat,Rajkot APMC,3574
2026-01-25,Wheat,Anand APMC,3361
2026-01-25,Groundnut,Ahmedabad APMC,6904
2026-01-25,Groundnut,Vadodara APMC,6331
2026-01-25,Groundnut,Surat APMC,7122
2026-01-25,Groundnut,Rajkot APMC,6715
2026-01-25,Groundnut,Anand APMC,6488
2026-01-25,Tomato,Ahmedabad APMC,2039
2026-01-25,Tomato,Vadodara APMC,1407
2026-01-25,Tomato,Surat APMC,2212
2026-01-25,Tomato,Rajkot APMC,1831
2026-01-25,Tomato,Anand APMC,1622
2026-01-26,Cotton,Ahmedabad APMC,7776
2026-01-26,Cotton,Vadodara APMC,7211
2026-01-26,Cotton,Surat APMC,7993
2026-01-26,Cotton,Rajkot APMC,7567
2026-01-26,Cotton,Anand APMC,7328
2026-01-26,Wheat,Ahmedabad APMC,3812
2026-01-26,Wheat,Vadodara APMC,3221
2026-01-26,Wheat,Surat APMC,4016
2026-01-26,Wheat,Rajkot APMC,3642
2026-01-26,Wheat,Anand APMC,3421
2026-01-26,Groundnut,Ahmedabad APMC,6914
2026-01-26,Groundnut,Vadodara APMC,6323
2026-01-26,Groundnut,Surat APMC,7186
2026-01-26,Groundnut,Rajkot APMC,6765
2026-01-26,Groundnut,Anand APMC,6554
2026-01-26,Tomato,Ahmedabad APMC,2041
2026-01-26,Tomato,Vadodara APMC,1445
2026-01-26,Tomato,Surat APMC,2215
2026-01-26,Tomato,Rajkot APMC,1822
2026-01-26,Tomato,Anand APMC,1633
2026-01-27,Cotton,Ahmedabad APMC,7825
2026-01-27,Cotton,Vadodara APMC,7174
2026-01-27,Cotton,Surat APMC,8009
2026-01-27,Cotton,Rajkot APMC,7633
2026-01-27,Cotton,Anand APMC,7384
2026-01-27,Wheat,Ahmedabad APMC,3866
2026-01-27,Wheat,Vadodara APMC,3252
2026-01-27,Wheat,Surat APMC,4077
2026-01-27,Wheat,Rajkot APMC,3650
2026-01-27,Wheat,Anand APMC,3483
2026-01-27,Groundnut,Ahmedabad APMC,7008
2026-01-27,Groundnut,Vadodara APMC,6365
2026-01-27,Groundnut,Surat APMC,7186
2026-01-27,Groundnut,Rajkot APMC,6795
2026-01-27,Groundnut,Anand APMC,6548
2026-01-27,Tomato,Ahmedabad APMC,2060
2026-01-27,Tomato,Vadodara APMC,1442
2026-01-27,Tomato,Surat APMC,2258
2026-01-27,Tomato,Rajkot APMC,1821
2026-01-27,Tomato,Anand APMC,1639
2026-01-28,Cotton,Ahmedabad APMC,7835
2026-01-28,Cotton,Vadodara APMC,7279
2026-01-28,Cotton,Surat APMC,8010
2026-01-28,Cotton,Rajkot APMC,7687
2026-01-28,Cotton,Anand APMC,7433
2026-01-28,Wheat,Ahmedabad APMC,3927
2026-01-28,Wheat,Vadodara APMC,3314
2026-01-28,Wheat,Surat APMC,4121
2026-01-28,Wheat,Rajkot APMC,3715
2026-01-28,Wheat,Anand APMC,3520
2026-01-28,Groundnut,Ahmedabad APMC,7007
2026-01-28,Groundnut,Vadodara APMC,6440
2026-01-28,Groundnut,Surat APMC,7186
2026-01-28,Groundnut,Rajkot APMC,6794
2026-01-28,Groundnut,Anand APMC,6623
2026-01-28,Tomato,Ahmedabad APMC,2047
2026-01-28,Tomato,Vadodara APMC,1465
2026-01-28,Tomato,Surat APMC,2229
2026-01-28,Tomato,Rajkot APMC,1848
2026-01-28,Tomato,Anand APMC,1652
2026-01-29,Cotton,Ahmedabad APMC,7852
2026-01-29,Cotton,Vadodara APMC,7308
2026-01-29,Cotton,Surat APMC,8102
2026-01-29,Cotton,Rajkot APMC,7668
2026-01-29,Cotton,Anand APMC,7481
2026-01-29,Wheat,Ahmedabad APMC,3975
2026-01-29,Wheat,Vadodara APMC,3340
2026-01-29,Wheat,Surat APMC,4159
2026-01-29,Wheat,Rajkot APMC,3758
2026-01-29,Wheat,Anand APMC,3553
2026-01-29,Groundnut,Ahmedabad APMC,7055
2026-01-29,Groundnut,Vadodara APMC,6474
2026-01-29,Groundnut,Surat APMC,7277
2026-01-29,Groundnut,Rajkot APMC,6841
2026-01-29,Groundnut,Anand APMC,6659
2026-01-29,Tomato,Ahmedabad APMC,2038
2026-01-29,Tomato,Vadodara APMC,1438
2026-01-29,Tomato,Surat APMC,2253
2026-01-29,Tomato,Rajkot APMC,1823
2026-01-29,Tomato,Anand APMC,1642
2026-01-30,Cotton,Ahmedabad APMC,7925
2026-01-30,Cotton,Vadodara APMC,7359
2026-01-30,Cotton,Surat APMC,8086
2026-01-30,Cotton,Rajkot APMC,7749
2026-01-30,Cotton,Anand APMC,7475
